siren,denominationUniteLegale,nomUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale,categorieJuridiqueUniteLegale,trancheEffectifsUniteLegale,sources,methode_jointure
100029172,JUNIOR ISEN-MEDITERANNEE,,62.01Z,O,9220,NN,sirene,siren_direct
100070044,TEAM MOVE,,62.01Z,O,5710,NN,sirene,siren_direct
100094655,ASSOCIATION NATIONALE DES CHIEF DATA & AI OFFICERS,,62.01Z,O,9220,NN,sirene,siren_direct
100094846,SB-HEBERG,,63.11Z,O,9220,NN,sirene,siren_direct
100159698,FABLEREBORN,,62.01Z,O,9220,NN,sirene,siren_direct
100184381,LES DES VOX'EURE,,58.21Z,O,9220,NN,sirene,siren_direct
100220466,LIVYO,,62.01Z,O,5710,NN,sirene,siren_direct
100312230,HORA,,63.12Z,O,5710,NN,sirene,siren_direct
100439207,DISQUIET ROOM,,58.21Z,O,9220,NN,sirene,siren_direct
100478817,MERRYHOST,,62.02A,O,9220,NN,sirene,siren_direct
100617604,DEMOCRACITY,,62.01Z,O,9220,NN,sirene,siren_direct
100683531,SOUSLESENS ASSOCIATION,,62.02A,O,9220,NN,sirene,siren_direct
100740299,CYBERSENS,,62.02A,O,9220,NN,sirene,siren_direct
100927532,VULGA TECH COM,,62.02A,O,9220,NN,sirene,siren_direct
101139905,CHEEZZ,,63.11Z,O,9220,NN,sirene,siren_direct
101197820,PROJETS PILOTES,,62.02A,O,5710,NN,sirene,siren_direct
101214930,QUANTICA RISK,,62.01Z,O,5710,NN,sirene,siren_direct
101471639,NEOHOST,,63.11Z,O,9220,NN,sirene,siren_direct
101704369,DIH,,58.29C,O,9220,NN,sirene,siren_direct
101763548,EVA-STATS,,63.12Z,O,9220,NN,sirene,siren_direct
301123741,CTRE STATISTIQ INFORMAT APPLIQUEES,,63.11Z,O,9220,NN,sirene,siren_direct
301652673,INSTITUT TECH FEDERATION FRANC BATIMENT,,63.11Z,O,9220,12,sirene,siren_direct
302044219,INSTITUT RECHERCHE L ENSAD,,63.11Z,O,9220,NN,sirene,siren_direct
