siren,sources,origines,methode_jointure,confiance_jointure,denomination,code_postal,commune,site_web,nom_structure_porteuse,naf,tranche_effectifs,categorie_juridique,group_naf,group_cate,denomination__tiers_lieux,code_postal__tiers_lieux,commune__tiers_lieux,site_web__tiers_lieux,nom_usage,denomination__ess_x_naf,denomination__cate_x_naf,denomination__ess_flag_insee,famille_ess,naf_numerique,tags_numerique
062201199,tiers_lieux,tiers_lieux,scoring,0.9,Le tiers lieu de carpentras,84200.0,CARPENTRAS,https://letierslieudecarpentras.fr,TeTra,,,,,,,,,,,,,,,False,
100029172,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,JUNIOR ISEN-MEDITERANNEE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
100070044,sirene,ess_flag_insee,siren_direct,1.0,TEAM MOVE,,,,,62.01Z,NN,5710.0,,,,,,,,,,,,True,dev_logiciel
100094655,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,ASSOCIATION NATIONALE DES CHIEF DATA & AI OFFICERS,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
100094846,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,SB-HEBERG,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
100159698,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,FABLEREBORN,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
100184381,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,LES DES VOX'EURE,,,,,58.21Z,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,edition_jeux
100220466,sirene,ess_flag_insee,siren_direct,1.0,LIVYO,,,,,62.01Z,NN,5710.0,,,,,,,,,,,,True,dev_logiciel
100312230,sirene,ess_flag_insee,siren_direct,1.0,HORA,,,,,63.12Z,NN,5710.0,,,,,,,,,,,,True,portail_web
100439207,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,DISQUIET ROOM,,,,,58.21Z,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,edition_jeux
100478817,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,MERRYHOST,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
100526466,tiers_lieux,tiers_lieux,scoring,1.0,La Parenthèse,16190.0,MONTMOREAU ST CYBARD,http://numeriquesudcharente.com,Espace Numérique Sud Charente,,,,,,,,,,,,,,,False,
100617604,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,DEMOCRACITY,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
100683531,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,SOUSLESENS ASSOCIATION,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
100740299,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,CYBERSENS,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
100748938,tiers_lieux,tiers_lieux,scoring,0.91,La Parenthèse Numérique,87500.0,ST YRIEIX LA PERCHE,https://saint-yrieix.fr/culture-et-loisirs/les-espaces-loisirs-culturels/lespace-multimedia/,Mairie de Saint-Yrieix-la-Perche,,,,,,,,,,,,,,,False,
100927532,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,VULGA TECH COM,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
101139905,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,CHEEZZ,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
101151207,tiers_lieux,tiers_lieux,scoring,0.9,La Sphère Fabrik 3.60,97232.0,LE LAMENTIN,,La Sphère,,,,,,,,,,,,,,,False,
101197820,sirene,ess_flag_insee,siren_direct,1.0,PROJETS PILOTES,,,,,62.02A,NN,5710.0,,,,,,,,,,,,True,conseil_it
101214930,sirene,ess_flag_insee,siren_direct,1.0,QUANTICA RISK,,,,,62.01Z,NN,5710.0,,,,,,,,,,,,True,dev_logiciel
101471639,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,NEOHOST,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
