siren;sources;origines;methode_jointure;confiance_jointure;denomination;code_postal;commune;site_web;nom_structure_porteuse;naf;tranche_effectifs;categorie_juridique;denomination__tiers_lieux;code_postal__tiers_lieux;commune__tiers_lieux;site_web__tiers_lieux;denomination__ess_numerique;denomination__cate_juridique;nom_usage;famille_ess;naf_numerique;tags_numerique
62201199;tiers_lieux;tiers_lieux;scoring;0.9;Le tiers lieu de carpentras;84200.0;CARPENTRAS;https://letierslieudecarpentras.fr;TeTra;;;;;;;;;;;;False;
100029172;sirene;cate_juridique;siren_direct;;JUNIOR ISEN-MEDITERANNEE;;;;;62.01Z;NN;9220.0;;;;;;;;association;True;dev_logiciel
100094655;sirene;cate_juridique;siren_direct;;ASSOCIATION NATIONALE DES CHIEF DATA & AI OFFICERS;;;;;62.01Z;NN;9220.0;;;;;;;;association;True;dev_logiciel
100094846;sirene;cate_juridique;siren_direct;;SB-HEBERG;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
100159698;sirene;cate_juridique;siren_direct;;FABLEREBORN;;;;;62.01Z;NN;9220.0;;;;;;;;association;True;dev_logiciel
100526466;tiers_lieux;tiers_lieux;scoring;1.0;La Parenthèse;16190.0;MONTMOREAU ST CYBARD;http://numeriquesudcharente.com;Espace Numérique Sud Charente;;;;;;;;;;;;False;
100748938;tiers_lieux;tiers_lieux;scoring;0.91;La Parenthèse Numérique;87500.0;ST YRIEIX LA PERCHE;https://saint-yrieix.fr/culture-et-loisirs/les-espaces-loisirs-culturels/lespace-multimedia/;Mairie de Saint-Yrieix-la-Perche;;;;;;;;;;;;False;
101151207;tiers_lieux;tiers_lieux;scoring;0.9;La Sphère Fabrik 3.60;97232.0;LE LAMENTIN;;La Sphère;;;;;;;;;;;;False;
301123741;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CTRE STATISTIQ INFORMAT APPLIQUEES;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
301652673;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;INSTITUT TECH FEDERATION FRANC BATIMENT;;;;;63.11Z;12;9220.0;;;;;;;;association;True;hebergement
302044219;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;INSTITUT RECHERCHE L ENSAD;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
