siren,sources,origines,methode_jointure,confiance_jointure,denomination,code_postal,commune,site_web,nom_structure_porteuse,naf,tranche_effectifs,categorie_juridique,group_naf,group_cate,denomination__tiers_lieux,code_postal__tiers_lieux,commune__tiers_lieux,site_web__tiers_lieux,nom_usage,denomination__ess_x_naf,denomination__cate_x_naf,denomination__ess_flag_insee,famille_ess,naf_numerique,tags_numerique,naf_enrich_source,naf_enrich_method,categorie_juridique_enrich_source,categorie_juridique_enrich_method,tranche_effectifs_enrich_source,tranche_effectifs_enrich_method,denomination_enrich_source,denomination_enrich_method,nom_usage_enrich_source,nom_usage_enrich_method,sigle_enrich_source,sigle_enrich_method,sigle,date_creation_enrich_source,date_creation_enrich_method,date_creation,est_active_enrich_source,est_active_enrich_method,est_active,rna_enrich_source,rna_enrich_method,rna,flag_ess_sirene_enrich_source,flag_ess_sirene_enrich_method,flag_ess_sirene,caractere_employeur_enrich_source,caractere_employeur_enrich_method,caractere_employeur,categorie_entreprise_enrich_source,categorie_entreprise_enrich_method,categorie_entreprise,societe_mission_enrich_source,societe_mission_enrich_method,societe_mission,annee_effectifs_enrich_source,annee_effectifs_enrich_method,annee_effectifs,siret_siege,siret_siege_enrich_source,siret_siege_enrich_method
062201199,tiers_lieux,tiers_lieux,scoring,0.9,Le tiers lieu de carpentras,84200.0,CARPENTRAS,https://letierslieudecarpentras.fr,TeTra,45.2R,NN,5499,,,,,,,,,,,,False,,sirene,siren_direct,sirene,siren_direct,sirene,siren_direct,,,,,sirene,siren_direct,TETRA,sirene,siren_direct,1962-01-01,sirene,siren_direct,True,,,,,,,,,,,,,,,,,,,06220119900031,sirene,siren_direct
100029172,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,JUNIOR ISEN-MEDITERANNEE,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel,,,,,,,,,,,,,,sirene,siren_direct,2026-01-08,sirene,siren_direct,True,sirene,siren_direct,W832023177,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10002917200010,sirene,siren_direct
100070044,sirene,ess_flag_insee,siren_direct,1.0,TEAM MOVE,,,,,62.01Z,NN,5710.0,,,,,,,,,,,,True,dev_logiciel,,,,,,,,,,,,,,sirene,siren_direct,2026-01-20,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,,,,sirene,siren_direct,O,,,,10007004400019,sirene,siren_direct
100094655,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,ASSOCIATION NATIONALE DES CHIEF DATA & AI OFFICERS,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel,,,,,,,,,,,,,,sirene,siren_direct,2025-07-01,sirene,siren_direct,True,sirene,siren_direct,W942012682,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10009465500014,sirene,siren_direct
100094846,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,SB-HEBERG,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,,,,sirene,siren_direct,2026-01-07,sirene,siren_direct,True,sirene,siren_direct,W627011415,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10009484600019,sirene,siren_direct
100159698,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,FABLEREBORN,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel,,,,,,,,,,,,,,sirene,siren_direct,2026-01-19,sirene,siren_direct,True,sirene,siren_direct,W442031434,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10015969800016,sirene,siren_direct
100184381,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,LES DES VOX'EURE,,,,,58.21Z,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,edition_jeux,,,,,,,,,,,,,,sirene,siren_direct,2025-12-20,sirene,siren_direct,True,sirene,siren_direct,W273009415,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10018438100018,sirene,siren_direct
100220466,sirene,ess_flag_insee,siren_direct,1.0,LIVYO,,,,,62.01Z,NN,5710.0,,,,,,,,,,,,True,dev_logiciel,,,,,,,,,,,,,,sirene,siren_direct,2026-01-16,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10022046600013,sirene,siren_direct
100312230,sirene,ess_flag_insee,siren_direct,1.0,HORA,,,,,63.12Z,NN,5710.0,,,,,,,,,,,,True,portail_web,,,,,,,,,,,,,,sirene,siren_direct,2025-12-03,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10031223000012,sirene,siren_direct
100439207,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,DISQUIET ROOM,,,,,58.21Z,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,edition_jeux,,,,,,,,,,,,,,sirene,siren_direct,2026-01-07,sirene,siren_direct,True,sirene,siren_direct,W332037197,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10043920700018,sirene,siren_direct
100478817,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,MERRYHOST,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it,,,,,,,,,,,,,,sirene,siren_direct,2026-01-13,sirene,siren_direct,True,sirene,siren_direct,W751282474,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10047881700016,sirene,siren_direct
100526466,tiers_lieux,tiers_lieux,scoring,1.0,La Parenthèse,16190.0,MONTMOREAU ST CYBARD,http://numeriquesudcharente.com,Espace Numérique Sud Charente,88.99B,NN,9220,,,,,,,,,,,association,False,,sirene,siren_direct,sirene,siren_direct,sirene,siren_direct,,,,,,,,sirene,siren_direct,2025-11-26,sirene,siren_direct,True,sirene,siren_direct,W595046095,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10052646600014,sirene,siren_direct
100617604,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,DEMOCRACITY,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel,,,,,,,,,,,,,,sirene,siren_direct,2026-01-13,sirene,siren_direct,True,sirene,siren_direct,W412005548,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10061760400010,sirene,siren_direct
100683531,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,SOUSLESENS ASSOCIATION,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it,,,,,,,,,,,,,,sirene,siren_direct,2026-01-13,sirene,siren_direct,True,sirene,siren_direct,W632015558,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10068353100014,sirene,siren_direct
100740299,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,CYBERSENS,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it,,,,,,,,,,,,,,sirene,siren_direct,2026-01-26,sirene,siren_direct,True,sirene,siren_direct,W741011773,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10074029900019,sirene,siren_direct
100748938,tiers_lieux,tiers_lieux,scoring,0.91,La Parenthèse Numérique,87500.0,ST YRIEIX LA PERCHE,https://saint-yrieix.fr/culture-et-loisirs/les-espaces-loisirs-culturels/lespace-multimedia/,Mairie de Saint-Yrieix-la-Perche,32.50A,NN,5499,,,,,,,,,,,,False,,sirene,siren_direct,sirene,siren_direct,sirene,siren_direct,,,,,,,,sirene,siren_direct,2026-01-01,sirene,siren_direct,True,,,,,,,,,,,,,sirene,siren_direct,N,,,,10074893800014,sirene,siren_direct
100927532,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,VULGA TECH COM,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it,,,,,,,,,,,,,,sirene,siren_direct,2026-02-04,sirene,siren_direct,True,sirene,siren_direct,W751282822,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10092753200018,sirene,siren_direct
101139905,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,CHEEZZ,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,,,,sirene,siren_direct,2026-02-05,sirene,siren_direct,True,sirene,siren_direct,W932014041,sirene,siren_direct,True,,,,,,,sirene,siren_direct,N,,,,10113990500018,sirene,siren_direct
101151207,tiers_lieux,tiers_lieux,scoring,0.9,La Sphère Fabrik 3.60,97232.0,LE LAMENTIN,,La Sphère,70.10Z,NN,5710,,,,,,,,,,,,False,,sirene,siren_direct,sirene,siren_direct,sirene,siren_direct,,,,,,,,sirene,siren_direct,2026-02-09,sirene,siren_direct,True,,,,,,,,,,,,,sirene,siren_direct,N,,,,10115120700012,sirene,siren_direct
