siren,siret_siege,denomination,nom_usage,sigle,naf,naf_numerique,tags_numerique,categorie_juridique,famille_ess,flag_ess_sirene,est_active,date_creation,tranche_effectifs,annee_effectifs,categorie_entreprise,caractere_employeur,societe_mission,rna,code_postal,commune,site_web,nom_structure_porteuse,sources,origines,methode_jointure,confiance_jointure,score_enrichissement
062201199,6220119900031,Le tiers lieu de carpentras,,TETRA,45.2R,False,,5499.0,,,True,1962-01-01,NN,,,,,,84200.0,CARPENTRAS,https://letierslieudecarpentras.fr,TeTra,tiers_lieux,tiers_lieux,scoring,0.9,0.83
100029172,10002917200010,JUNIOR ISEN-MEDITERANNEE,,,62.01Z,True,dev_logiciel,9220.0,association,True,True,2026-01-08,NN,,,,N,W832023177,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
100070044,10007004400019,TEAM MOVE,,,62.01Z,True,dev_logiciel,5710.0,,True,True,2026-01-20,NN,,,,O,,,,,,sirene,ess_flag_insee,siren_direct,1.0,0.58
100094655,10009465500014,ASSOCIATION NATIONALE DES CHIEF DATA & AI OFFICERS,,,62.01Z,True,dev_logiciel,9220.0,association,True,True,2025-07-01,NN,,,,N,W942012682,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
100094846,10009484600019,SB-HEBERG,,,63.11Z,True,hebergement,9220.0,association,True,True,2026-01-07,NN,,,,N,W627011415,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
100159698,10015969800016,FABLEREBORN,,,62.01Z,True,dev_logiciel,9220.0,association,True,True,2026-01-19,NN,,,,N,W442031434,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
100184381,10018438100018,LES DES VOX'EURE,,,58.21Z,True,edition_jeux,9220.0,association,True,True,2025-12-20,NN,,,,N,W273009415,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
100220466,10022046600013,LIVYO,,,62.01Z,True,dev_logiciel,5710.0,,True,True,2026-01-16,NN,,,,N,,,,,,sirene,ess_flag_insee,siren_direct,1.0,0.58
100312230,10031223000012,HORA,,,63.12Z,True,portail_web,5710.0,,True,True,2025-12-03,NN,,,,N,,,,,,sirene,ess_flag_insee,siren_direct,1.0,0.58
100439207,10043920700018,DISQUIET ROOM,,,58.21Z,True,edition_jeux,9220.0,association,True,True,2026-01-07,NN,,,,N,W332037197,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
100478817,10047881700016,MERRYHOST,,,62.02A,True,conseil_it,9220.0,association,True,True,2026-01-13,NN,,,,N,W751282474,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
100526466,10052646600014,La Parenthèse,,,88.99B,False,,9220.0,association,True,True,2025-11-26,NN,,,,N,W595046095,16190.0,MONTMOREAU ST CYBARD,http://numeriquesudcharente.com,Espace Numérique Sud Charente,tiers_lieux,tiers_lieux,scoring,1.0,1.0
100617604,10061760400010,DEMOCRACITY,,,62.01Z,True,dev_logiciel,9220.0,association,True,True,2026-01-13,NN,,,,N,W412005548,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
100683531,10068353100014,SOUSLESENS ASSOCIATION,,,62.02A,True,conseil_it,9220.0,association,True,True,2026-01-13,NN,,,,N,W632015558,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
100740299,10074029900019,CYBERSENS,,,62.02A,True,conseil_it,9220.0,association,True,True,2026-01-26,NN,,,,N,W741011773,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
100748938,10074893800014,La Parenthèse Numérique,,,32.50A,False,,5499.0,,,True,2026-01-01,NN,,,,N,,87500.0,ST YRIEIX LA PERCHE,https://saint-yrieix.fr/culture-et-loisirs/les-espaces-loisirs-culturels/lespace-multimedia/,Mairie de Saint-Yrieix-la-Perche,tiers_lieux,tiers_lieux,scoring,0.91,0.83
100927532,10092753200018,VULGA TECH COM,,,62.02A,True,conseil_it,9220.0,association,True,True,2026-02-04,NN,,,,N,W751282822,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
101139905,10113990500018,CHEEZZ,,,63.11Z,True,hebergement,9220.0,association,True,True,2026-02-05,NN,,,,N,W932014041,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
101151207,10115120700012,La Sphère Fabrik 3.60,,,70.10Z,False,,5710.0,,,True,2026-02-09,NN,,,,N,,97232.0,LE LAMENTIN,,La Sphère,tiers_lieux,tiers_lieux,scoring,0.9,0.75
101197820,10119782000018,PROJETS PILOTES,,,62.02A,True,conseil_it,5710.0,,True,True,2026-02-13,NN,,,,O,,,,,,sirene,ess_flag_insee,siren_direct,1.0,0.58
101214930,10121493000014,QUANTICA RISK,,,62.01Z,True,dev_logiciel,5710.0,,True,True,2026-02-14,NN,,,,O,,,,,,sirene,ess_flag_insee,siren_direct,1.0,0.58
101471639,10147163900019,NEOHOST,,,63.11Z,True,hebergement,9220.0,association,True,True,2026-01-24,NN,,,,N,W292008173,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
101704369,10170436900012,DIH,,,58.29C,True,edition_logiciel,9220.0,association,True,True,2026-02-18,NN,,,,N,W751283013,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
101763548,10176354800019,EVA-STATS,,,63.12Z,True,portail_web,9220.0,association,True,True,2025-09-28,NN,,,,N,,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.67
301123741,30112374100011,CTRE STATISTIQ INFORMAT APPLIQUEES,,,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
301652673,30165267300015,INSTITUT TECH FEDERATION FRANC BATIMENT,,IT FFB,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,12,2023.0,PME,,,W751003938,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
302044219,30204421900012,INSTITUT RECHERCHE L ENSAD,,,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
302997986,30299798600013,ASS DOCUMENTATION SCIENT INDUST COMMERCI,,,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
303891915,30389191500090,ASSOC FRANCAISE MICADO,,,63.11Z,True,hebergement,9220.0,association,True,True,1974-12-24,02,2023.0,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
306016411,30601641100010,CENTRE CULTUREL LUTHERIEN DE PARIS,,,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
306169905,30616990500024,CARREFOUR INTERPROFESSIONNEL DU MONDE AGRICOLE,,CIMA 53,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,NN,,PME,,,W532003196,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
